star,constellation,right ascension,Declination,apparent magnitude,distance,spectral type,brown dwarf,mass,radius,orbital period,semimajor axis,ecc,discovery year
b'HD 8673',b'Andromeda',01h26m09s,"b'+34\xc2\xb0\xc2\xa034\'\xc2\xa047""'",6.31,124.75,b'F7V\n',b,14,,639,1.58,,"2005
"
b'NGC 4349-127',b'Crux',12h24m08s,"b'-61\xc2\xb0\xc2\xa052\'\xc2\xa018""'",7.4,7097,b'MIII?\n',b,19.8,,677.8,2.38,0.19,"2007
"
b'Gliese 569',b'Bo\xc3\xb6tes',14h54m29s,"b'+16\xc2\xb0\xc2\xa006\'\xc2\xa004""'",10.2,31.5,b'M3V\n',Ba + Bb,116,,870,0.87,0.317,1988
b'HD 29587',b'Perseus',04h41m34s,"b'+42\xc2\xb0\xc2\xa007\'\xc2\xa025""'",7.29,146.77,b'G2V\n',b,40,,1471.7,2.5,0.37,"1996
"
b'ChaH\xce\xb18',b'Chamaeleon',11h07m48s,"b'-77\xc2\xb0\xc2\xa040\'\xc2\xa008""'",20.1,522,b'M6.5\n',b,18,,1590.9,1,0.49,"2007
"
b'COROT-20',b'Monoceros',06h30m55.3s,"b'+0\xc2\xb0\xc2\xa013\'\xc2\xa037""'",14.66,4000,b'G2V\n',c,17,,1675,2.9,0.6,"2010
"
b'HD 168443',b'Serpens',18h20m04s,"b'\xe2\x80\x9309\xc2\xb0\xc2\xa035\'\xc2\xa034""'",6.92,123.5,b'G5\n',c,34,,1739.5,2.87,0.228,"2001
"
b'HD 38529 A',b'Orion',05h46m34s,"b'+01\xc2\xb0\xc2\xa010\'\xc2\xa005""'",5.94,138,b'G4IV\n',c,37,,2174.3,3.68,0.36,"2002
"
b'Epsilon Indi',b'Indus',22h03m22s,"b'\xe2\x80\x9356\xc2\xb0\xc2\xa047\'\xc2\xa009""'",4.69,11.8,b'K5V\n',Bb,28,,5478.75,2.65,,"2003
"
b'HW Virginis',b'Virgo',12h44m20s,"b'-08\xc2\xb0\xc2\xa040\'\xc2\xa017""'",10.9,590,b'sdB+M\n',b,19.23,,5786,5.30,0.46,"2008
"
b'DT Virginis',b'Virgo',13h0m41.74s,"b'12\xc2\xb0\xc2\xa0 21 \'\xc2\xa0 14.7""'",9.72,37.55,b'P\n',c,12.5,1.1,33081,,,"2010
"
b'HD 4113',b'Sculptor',00h43m12.60s,"b'-37\xc2\xb0\xc2\xa058\'\xc2\xa057.48""'",7.88,136,b'G5V\n',C,60,,73000,20,,"2006
"
b'Gliese 229',b'Lepus',06h10m35s,"b'\xe2\x80\x9321\xc2\xb0\xc2\xa051\'\xc2\xa042""'",8.14,19,b'M1V',B,40,,73050,40,,"1995
"
b'TYC 9486-927-1',b'Octans',21h26m50.4s,"b'-81\xc2\xb0\xc2\xa040\'\xc2\xa029.3""'",11.82,111,b'L3\xce\xb3',2MASS J2126-8140,b'13.3 (\xc2\xb1 1.7) \xc2\xa0MJ',,328725000,6900,,"2009
"
b'Epsilon Indi',b'Indus',22h03m22s,"b'\xe2\x80\x9356\xc2\xb0\xc2\xa047\'\xc2\xa009""'",4.69,11.8,b'K5V\n',Ba,47,,1532899.8,,,"2003
"
b'HD 131664',b'Apus',15h00m06s,"b'-73\xc2\xb0\xc2\xa032\'\xc2\xa007""'",8.13,180.8,b'G3V\n',b,18.15,,1951,3.17,0.638,"2008
"
b'HD 136118',b'Serpens',15h18m55s,"b'-01\xc2\xb0\xc2\xa035\'\xc2\xa032""'",6.94,171,b'F9V\n',b,42,,1209,1.45,0.352,"2002
"
b'HD 140913',b'Corona Borealis',15h45m07s,"b'+28\xc2\xb0\xc2\xa028\'\xc2\xa012""'",8.07,156.42,b'G0V\n',b,46,,147.94,0.54,0.61,"1996
"
b'GQ Lupi b',b'Lupus',15h49m12s,"b'\xe2\x80\x9335\xc2\xb0\xc2\xa039\'\xc2\xa003""'",11.4,400,b'K7eV\n',b,1-42,1.8,,103,,"2005
"
b'HD 162020',b'Scorpius',17h50m38s,"b'\xe2\x80\x9340\xc2\xb0\xc2\xa019\'\xc2\xa006""'",9.18,101.95,b'K2V\n',b,15.0,,8.428198,0.0751,0.277,"2000
"
b'Nu Ophiuchi',b'Ophiuchus',17h59m01s,"b'-09\xc2\xb0\xc2\xa046\'\xc2\xa025""'",3.33,152.8,b'K0III\n',b,21.9,,536,,0.13,"2004
"
b'HD 164427',b'Telescopium',18h04m43s,"b'-59\xc2\xb0\xc2\xa012\'\xc2\xa035""'",6.89,127.52,b'G4IV\n',b,46,,108.55,0.46,0.55,"2000
"
b'SCR 1845-6357',b'Pavo',18h45m07s,"b'-63\xc2\xb0\xc2\xa057\'\xc2\xa043""'",17.4,12.57,b'M8.5V\n',B,40-50,,,4.1,,"2006
"
b'COROT-3',b'Aquila',19h28m13s,"b'+00\xc2\xb0\xc2\xa007\'\xc2\xa019""'",13.3,2220,b'G0V\n',b,21.66,1.01,4.2568,0.057,0,"2008
"
b'15 Sagittae',b'Sagitta',20h04m06s,"b'+17\xc2\xb0\xc2\xa004\'\xc2\xa013""'",5.80,57.7,b'G1V\n',B,65,,,14,,"2002
"
b'Zeta Delphini',b'Delphinus',20h35m19s,"b'+14\xc2\xb0\xc2\xa040\'\xc2\xa027""'",4.65,220,b'A3V\n',B,55,,,910,,"2014
"
b'HD 202206',b'Capricornus',21h14m58s,"b'\xe2\x80\x9320\xc2\xb0\xc2\xa047\'\xc2\xa020""'",8.08,151.14,b'G6V\n',b,17.4,,255.87,0.83,0.435,"2000
"
